date,open,high,low,close,tick_volume,spread,real_volume
2025-12-29,4538.28,4549.39,4300.53,4331.54,514414,22,0
2025-12-30,4334.26,4404.12,4322.28,4338.28,479249,22,0
2025-12-31,4336.79,4373.04,4274.6,4318.19,413885,22,0
2026-01-02,4329.2,4402.25,4309.83,4332.03,352467,22,0
2026-01-05,4359.77,4455.69,4342.77,4448.95,431375,22,0
2026-01-06,4447.21,4497.38,4427.84,4494.5,357358,22,0
2026-01-07,4495.44,4500.44,4423.2,4456.13,385057,24,0
2026-01-08,4459.14,4479.59,4407.63,4477.86,396910,24,0
2026-01-09,4479.35,4517.09,4452.86,4508.56,341248,24,0
2026-01-12,4518.74,4630.11,4512.49,4597.23,412575,24,0
2026-01-13,4603.02,4634.55,4569.34,4585.77,387074,24,0
2026-01-14,4588.75,4642.81,4588.44,4626.89,351960,24,0
2026-01-15,4630.49,4632.42,4581.04,4615.92,349577,24,0
2026-01-16,4616.3,4620.51,4536.53,4595.77,302560,24,0
2026-01-19,4625.62,4690.63,4612.26,4669.0,182455,24,0
2026-01-20,4670.48,4766.2,4659.37,4762.97,299746,24,0
2026-01-21,4761.67,4888.23,4755.77,4831.45,342360,24,0
2026-01-22,4830.82,4940.69,4772.23,4935.81,270014,24,0
2026-01-23,4941.26,4989.65,4899.57,4987.85,288741,24,0
2026-01-26,5009.26,5110.93,4987.22,5010.37,368160,24,0
2026-01-27,5011.82,5190.58,5011.66,5178.33,372144,24,0
2026-01-28,5177.12,5419.13,5156.97,5416.87,449932,24,0
2026-01-29,5422.22,5597.99,5101.59,5369.66,605736,24,0
2026-01-30,5382.69,5450.55,4686.92,4887.16,747656,28,0
2026-02-02,4814.22,4884.58,4402.53,4657.42,891162,32,0
2026-02-03,4671.6,4993.88,4665.84,4944.18,676506,32,0
2026-02-04,4946.19,5091.76,4849.75,4964.33,556817,32,0
2026-02-05,4970.25,5023.58,4758.24,4775.94,688602,32,0
2026-02-06,4792.54,4971.27,4655.14,4962.75,492912,32,0
2026-02-09,4983.43,5086.52,4964.97,5056.83,401942,32,0
2026-02-10,5058.67,5078.61,4987.71,5025.02,417860,28,0
2026-02-11,5025.63,5118.91,5018.64,5083.47,371519,28,0
2026-02-12,5091.38,5099.67,4878.56,4921.56,414054,26,0
2026-02-13,4925.79,5046.21,4885.92,5040.14,398702,26,0
2026-02-16,5037.66,5052.95,4964.07,4993.27,199846,24,0
2026-02-17,4996.12,5000.74,4842.27,4878.02,399993,24,0
2026-02-18,4879.17,4936.88,4854.06,4934.35,59003,28,0
